Web Description,Bruteforce,DoS,insider,phishing,ransomware,Trojan,Web
"On December 14, 2018, Pasquotank-Camden Emergency Medical Services, the covered entity (CE), discovered that data from its administrative server where protected health information (PHI) was stored, was missing.  The breach affected 40,753 individuals whose names, billing records, medical information, Social Security numbers, and dates of birth were stored on the server.  The CE’s forensic investigation determined that the breach was caused by a brute force attack to its server by a hacker located in Eastern Europe.  The CE restored the deleted data using a recent backup of the server.  The CE sent timely media notification on December 21, 2018.  Individual notification and substitute notification were not provided until February 21, 2019 and February 25, 2019, respectively.  The CE offered affected individuals identity monitoring and restoration insurance for one year following the breach.  In response to the breach, the CE implemented physical safeguards for its administrative office, updated software, migrated historical data to external hard drives, initiated a process to identify a new EHR software vendor, and improved safeguards for   system user accounts.  OCR provided technical assistance regarding how to determine the start date of a breach and obtained assurances that the CE implemented the corrective actions listed above.  ",1,0,0,0,0,0,0
"The covered entity (CE), Texas Health & Human Services Commission, detected unauthorized remote login activity from Asia to a computer server belonging to a business associate (BA), Emergence Health Network, which had been compromised by a brute force attack.  The attack potentially affected the names, addresses, dates of birth, demographic, financial, clinical, and treatment information of approximately 11,000 individuals being discharged from El Paso County Jail.  Following the breach, the BA retired outdated software, implemented new policies and procedures to require regular patching of software, installed a new intrusion protection detection system, updated firewalls, strengthened configurations on servers, and implemented internet protocol filtering.  It also implemented a new training program for workforce members. Following OCR’s investigation, the BA updated its Breach Notification Policy.",1,0,0,0,0,0,0
"The covered entity (CE), Vascular Surgical Associates, discovered that on September 13, 2016, it had experienced a distributed denial of services attack.  Upon investigation, it was determined that unauthorized third parties were able to gain access into the CE’s computer server through an administrative account set up by its electronic health records (EHR) system vendor and to enter the server and obtain PHI undetected after installing software to prevent the CE from seeing the activity.  The types of PHI on the CE’s server included patients' names, addresses, dates of birth, and health diagnoses and conditions.  The server contained PHI for approximately 36,496 individuals. The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, the CE immediately terminated the unauthorized third parties’ access to its server, changed and strengthened passwords and contacted law enforcement.  Additionally, the CE strengthened the security of its server by implementing Sonicwall protection, antivirus software, and Secure Sockets Layer virtual private network, and conducting daily log reviews looking for anomalies.  Furthermore, the CE rebuilt its network, including its EHR system, retrained its workforce, and strengthened its HIPAA policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions listed above.  ",0,1,0,0,0,0,0
"Ronald E. Rosenbaum, DMD, PA, the covered entity (CE), reported that it impermissibly disclosed protected health information (PHI) when it notified affected individuals of a previous breach incident using postcards.   This breach affected 1,522 individuals.  The PHI involved included names, addresses, and treatment information.  OCR provided technical assistance to the CE regarding breach notification, impermissible disclosures, and the definition of a breach.  As a result of OCR’s investigation, the CE revised its breach notification policy, and its staff members participated in comprehensive HIPAA training.  The covered entity notified affected individuals, OCR, and the media of this breach incident.   OCR obtained assurances that the CE implemented the corrective actions noted above.",0,0,1,0,0,0,0
"The covered entity (CE), Oklahoma Department of Human Services, reported that it inadvertently issued client notice letters with a second, unrelated client’s name and address due to a software change, affecting 813 individuals. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE developed and deployed a solution that stopped incorrect information from being added to the notice letters provided to clients. OCR obtained assurances that the CE implemented the corrective action steps noted above.",0,0,1,0,0,0,0
"On July 28, 2017, OCR informed the covered entity (CE), Advanced Orthopedic Center, that in October 2015 a former employee of a website vendor, CoPilot Provider Support Services (“CoPilot”), impermissibly accessed protected health information (PHI) that the CE had entered in an online tool offered by a medicine manufacturer (DePuy Synthes Mitek Sports Medicine).  The breach affected approximately 1,647 of the CE’s patients and included demographic and medical insurance card information (including social security numbers).   CoPilot provided breach notification to affected individuals and the media on behalf of the CE before the CE was informed about the breach.   As a result of OCR’s investigation, the CE provided breach notification to HHS, documented the impermissible disclosure in each affected patient’s file, revised its Notice of Privacy Practices, executed business associate (BA) agreements with its BAs, and obtained satisfactory assurances that each BA will appropriately safeguard PHI pursuant to HIPAA.  The CE ceased using the website portal involved in the breach and started confirming insurance coverage directly with each patient.  OCR obtained documented assurances that the CE established a process to execute BA agreements with all of its vendors in accordance to the Privacy Rule and implemented the compliance action steps listed above.  OCR provided technical assistance to the CE regarding the Breach Notification Rule and BA agreements.      

",0,0,1,0,0,0,0
"A former physician employee of covered entity (CE), Pediatric Endocrinology and Diabetes Specialists, a Nevada facility that closed in January 2016, impermissibly accessed the protected health information (PHI) of patients after leaving the practice.  The breach affected approximately 1,021 individuals and included full names, addresses, dates of birth, patient ID numbers, insurance information, diagnosis/conditions, lab results, and medications.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice.  In response to the incident, the CE conducted a thorough audit of the employee’s medical record access following the former employee’s termination.  OCR provided technical assistance to the CE on Security Rule compliance should it reopen. 
",0,0,1,0,0,0,0
"On October 21, 2017, the Recovery Institute of the South East, P.A., the covered entity (CE), reported that a former employee remotely accessed its computers without authorization between December 2016 and October 2017. The CE reported that 689 individuals were affected; however, a subsequent forensic investigation by Envista Forensics found no evidence of malware, unauthorized access, or unauthorized data exfiltration. Based on these findings, the CE concluded that protected health information (PHI) was not exposed and no patients were affected. During this review, OCR found that although there was no breach, the CE did not have adequate policies or procedures in place to safeguard PHI. OCR provided technical assistance to the CE, and in response, the CE adopted and implemented a comprehensive set of policies and procedures to comply with HIPAA requirements. OCR also conducted outreach with the CE and has obtained assurances that the CE implemented the voluntary corrective actions noted above. ",0,0,1,0,0,0,0
"The covered entity (CE), Christine D. Collins, APC & Ann Hofstader, MD Inc., discovered that a third party may have gained unauthorized access to its computer systems when email access credentials belonging to an employee were wrongfully acquired as a result of a cyber-security attack on May 27, 2017.  The CE’s investigation determined that the employee’s email account was subject to unauthorized access between May 27, 2017, and May 28, 2017.  The breach involved the protected health information (PHI) of 1,500 individuals and included names, addresses, dates of birth, social security numbers, and medical information. In response to the breach incident the CE immediately disabled the account, reset the credentials for the impacted user account, implemented two-factor authentication for email access, and updated its policies and procedures.  The CE provided breach notification to HHS, affected individuals, and the media.  OCR provided technical assistance regarding the CE’s obligation to conduct a comprehensive and current security risk analysis, along with implementing a corresponding risk management/mitigation plan to address the findings of its risk analysis report. ",0,0,1,0,0,0,0
"Electronic protected health information (ePHI) contained on the covered entity’s (CE) computer server was compromised by an unauthorized third-party from July 18 to August 2, 2016.  The PHI involved in the compromised server included full names, Social Security numbers, dates of birth, home addresses, drivers’ licenses, claims information, credit/bank account numbers, and treatment notes pertaining to 300,000 individuals.  The CE provided breach notification to HHS, affected individuals, and the media, and also posted substitute notice on its website.  Following the breach, the CE retained a forensic firm, conducted a new risk assessment, installed an enhanced firewall system, updated its anti-virus software, and implemented safeguards related to access.  OCR obtained written assurances that the CE implemented the corrective actions listed above. ",0,0,1,0,0,0,0
